"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"St Louis","MO","Macon","9304","63134","55","0","None","1.00","6","St Louis","Other","6","Cash","0","Other","GSTL","11500.00","","Private","11500.00","4/11/2012 12:00:00 AM","11500.00","Cash","Sold","4/12/2012 5:01:23 PM","6.00","1/23/2012 12:00:00 AM"
"St Louis","MO","Calvert","3634","63114","84","","Full","1.00","5","St Louis","Central-Electric","5","Cash","0","Gas","GSTL","14500.00","","Private","11500.00","5/14/2012 12:00:00 AM","11500.00","Cash, Conventional","Sold","5/14/2012 4:54:49 PM","1.00","4/23/2012 12:00:00 AM"
"St Louis","MO","Hume","8418","63114","90","0","Full, Walk-Out","1.00","78","St Louis","Central-Electric","78","Cash","1","Gas","GSTL","12000.00","","Government","12000.00","8/19/2011 12:00:00 AM","12000.00","Cash","Sold","8/23/2011 12:00:00 AM","2.00","3/7/2011 12:00:00 AM"
"St Louis","MO","Muriel","9420","63114","84","0","Full","1.00","38","St Louis","Central-Electric","38","Cash","0","Gas","GSTL","12500.00","","Bank","12500.00","10/19/2011 12:00:00 AM","12500.00","Cash, Conventional","Sold","10/24/2011 12:00:00 AM","1.00","8/5/2011 12:00:00 AM"
"St Ann","MO","Saint Gregory","3754","63074","63","0","Space/Crawl or Other","1.00","133","St Louis","Central-Electric","5","Cash","0","Gas","GSTL","14900.00","","Bank","12500.00","11/29/2011 12:00:00 AM","12500.00","Cash, Conventional","Sold","11/30/2011 12:00:00 AM","3.00","11/10/2011 12:00:00 AM"
"St John","MO","Susan","8761","63114","74","0","Bathroom in LL, Full, Unfinished","2.00","8","St Louis","Other","8","Cash","1","Gas","GSTL","6000.00","","Bank","15000.00","5/25/2012 12:00:00 AM","15000.00","Cash","Sold","5/30/2012 3:32:48 PM","2.00","4/17/2012 12:00:00 AM"
"St Louis","MO","Marshall","3316","63114","131","0","Full","2.00","8","St Louis","Central-Electric","8","Cash","0","Gas","GSTL","13000.00","","Government","15007.00","5/7/2012 12:00:00 AM","15007.00","Cash, Conventional, FHA","Sold","5/7/2012 1:44:17 PM","3.00","2/15/2012 12:00:00 AM"
"St Louis","MO","Stansberry","9463","63134","54","0","None","1.00","47","St Louis","Other","47","Cash","0","Other","GSTL","22500.00","","Bank","15500.00","7/28/2011 12:00:00 AM","15500.00","Cash, Conventional","Sold","8/1/2011 12:00:00 AM","3.00","5/18/2011 12:00:00 AM"
"St Louis","MO","Susan","8757","63114","73","0","Concrete Block, Full, Partially Finished, Walk-Out","1.00","19","St Louis","Ceiling Fan","19","Cash","0","Gas","GSTL","15500.00","","Bank","15500.00","12/7/2011 12:00:00 AM","15500.00","Cash, Conventional","Sold","12/12/2011 12:00:00 AM","2.00","10/13/2011 12:00:00 AM"
"St Louis","MO","Kincaid","3004","63114","55","0","Full","1.00","116","St Louis","Central-Electric","116","Cash","1","Gas","GSTL","20000.00","","Bank","16000.00","7/8/2011 12:00:00 AM","16000.00","Cash, Conventional","Sold","7/11/2011 12:00:00 AM","3.00","2/10/2011 12:00:00 AM"
