"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"St Louis","MO","Scanlan","6206","63139","64","0","Full, Partially Finished, Rec/Family Area, Sump Pit/Pump","1.00","635","St Louis City","Attic Fan, Ceiling Fan, Central-Electric","635","Conventional","2","Gas","GSTL","120000.00","","Private","107750.00","1/13/2012 12:00:00 AM","107750.00","Cash, Conventional, FHA","Sold","1/18/2012 12:20:25 PM","2.00","3/10/2010 12:00:00 AM"
"St Louis","MO","Childress","3619","63109","60","0","Full, Walk-Out","1.00","181","St Louis City","Central-Electric","181","Cash","0","Gas","GSTL","119500.00","","Private","108500.00","5/30/2012 12:00:00 AM","108500.00","Cash, Conventional, FHA, VA","Sold","5/31/2012 10:16:46 AM","3.00","11/15/2011 12:00:00 AM"
"St Louis","MO","Hancock","6641","63139","113","0","Partially Finished, Rec/Family Area, Walk-Out","2.00","354","St Louis City","Central-Electric","354","FHA","1","Gas","GSTL","116900.00","","Private","109000.00","3/22/2012 12:00:00 AM","109000.00","Cash, Conventional, FHA, VA","Sold","3/26/2012 11:20:23 AM","2.00","3/25/2011 12:00:00 AM"
"St Louis","MO","Hillsland","6961","63109","71","0","Full, Walk-Out","1.00","114","St Louis City","Central-Electric","114","VA","1","Gas","GSTL","119900.00","","Private","110000.00","10/31/2011 12:00:00 AM","110000.00","Cash, Conventional, FHA, VA","Sold","11/1/2011 12:00:00 AM","2.00","6/9/2011 12:00:00 AM"
"St Louis","MO","Fyler","6323","63139","66","0","Full, Unfinished","1.00","47","St Louis City","Central-Electric","47","Conventional","2","Gas","GSTL","115000.00","","Private","110000.00","6/14/2012 12:00:00 AM","110000.00","Cash, Conventional, FHA, VA","Sold","6/15/2012 12:30:51 PM","2.00","4/12/2012 12:00:00 AM"
"St Louis","MO","Marquette","6629","63139","60","0","Poured Concrete","1.00","45","St Louis City","Ceiling Fan, Central-Electric","45","Conventional","1","Gas","GSTL","119900.00","","Private","113000.00","11/25/2011 12:00:00 AM","113000.00","Cash, Conventional, FHA, VA","Sold","12/19/2011 12:00:00 AM","2.00","7/15/2011 12:00:00 AM"
"St Louis","MO","Potomac","6400","63139","82","","Full, Walk-Out","1.00","104","St Louis City","Ceiling Fan, Central-Electric","104","Conventional","0","Gas","GSTL","124900.00","","Private","113000.00","6/27/2012 12:00:00 AM","113000.00","Cash, Conventional, FHA, VA","Sold","6/29/2012 10:44:28 AM","2.00","2/21/2012 12:00:00 AM"
"St Louis","MO","Fyler","6011","63139","63","0","Concrete Block, Full","1.00","89","St Louis City","Ceiling Fan, Central-Electric","89","FHA","1","Gas","GSTL","119900.00","","Private","114500.00","6/28/2012 12:00:00 AM","114500.00","Cash, Conventional, FHA, VA","Sold","6/28/2012 5:24:48 PM","2.00","3/1/2012 12:00:00 AM"
"St Louis","MO","Childress","3223","63139","83","0","Full","1.00","87","St Louis City","Ceiling Fan","87","Cash","0","Gas","GSTL","127000.00","","Private","115000.00","8/23/2011 12:00:00 AM","115000.00","Cash, Conventional, FHA, Lease, Lease Option, Lease Purchase, Private, VA","Sold","8/25/2011 12:00:00 AM","2.00","5/2/2011 12:00:00 AM"
"St Louis","MO","Sutherland","7053","63109","85","","Bathroom in LL, Partially Finished, Rec/Family Area","2.00","241","St Louis City","Central-Electric","23","FHA","2","Gas","GSTL","115000.00","","Government","115000.00","6/29/2012 12:00:00 AM","115000.00","Cash, Conventional, Other","Sold","6/29/2012 5:37:29 PM","3.00","4/16/2012 12:00:00 AM"
