"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"Webster Groves","MO","Park","414","63119","81","0","Full","3.00","102","St Louis","Central-Electric","102","Cash","0","Electric","GSTL","299000.00","","Private","267500.00","11/11/2011 12:00:00 AM","267500.00","Conventional","Sold","11/15/2011 12:00:00 AM","2.00","7/11/2011 12:00:00 AM"
"Webster Groves","MO","Tuxedo","857","63119","61","","Bathroom in LL, Full, Lookout, Partially Finished, Poured Concrete, Rec/Family Area, Sleeping Area, Walk-Out","3.00","3","St Louis","Ceiling Fan, Central-Electric, Zoned","3","Conventional","0","Gas","GSTL","269900.00","","Private","271000.00","5/11/2012 12:00:00 AM","271000.00","Cash, Conventional, FHA, RRM/ARM, VA","Sold","5/14/2012 12:02:31 PM","3.00","2/20/2012 12:00:00 AM"
"Webster Groves","MO","Sylvester","36","63119","101","","Bathroom in LL, Full","2.00","23","St Louis","Central-Electric","23","Conventional","2","Gas","GSTL","269900.00","","Private","271000.00","6/7/2012 12:00:00 AM","271000.00","Cash, Conventional","Sold","6/8/2012 6:45:49 AM","3.00","4/5/2012 12:00:00 AM"
"Webster Groves","MO","Maple","204","63119","100","0","Partially Finished, Rec/Family Area, Walk-Out","3.00","62","St Louis","Ceiling Fan, Central-Electric","62","Cash","0","Gas","GSTL","324500.00","","Private","279000.00","8/15/2011 12:00:00 AM","279000.00","Cash, Conventional","Sold","8/16/2011 12:00:00 AM","6.00","2/19/2011 12:00:00 AM"
"Webster Groves","MO","Fairview","634","63119","67","","Full","2.00","25","St Louis","Ceiling Fan, Central-Electric","25","FHA","2","Gas","GSTL","289000.00","","Private","280000.00","5/24/2012 12:00:00 AM","280000.00","Cash, Conventional","Sold","5/24/2012 9:06:55 PM","3.00","3/21/2012 12:00:00 AM"
"Webster Groves","MO","Gore","505","63119","102","","Full","2.00","49","St Louis","Central-Electric","49","Conventional","1","Gas","GSTL","285000.00","","Private","285000.00","5/23/2012 12:00:00 AM","285000.00","Cash, Conventional, FHA","Sold","5/23/2012 1:45:57 PM","4.00","4/3/2012 12:00:00 AM"
"Webster Groves","MO","Jackson","21","63119","101","0","Partially Finished, Rec/Family Area, Sump Pit/Pump","2.00","118","St Louis","Ceiling Fan, Central-Electric","118","Conventional","2","Gas","GSTL","299000.00","","Private","287100.00","8/11/2011 12:00:00 AM","287100.00","Cash, Conventional","Sold","8/12/2011 12:00:00 AM","3.00","3/22/2011 12:00:00 AM"
"Webster Groves","MO","Olive","534","63119","73","0","Fireplace in LL, Partially Finished, Rec/Family Area, Walk-Out","3.00","5","St Louis","Central-Electric","5","Conventional","2","Gas","GSTL","299000.00","","Private","290000.00","7/25/2011 12:00:00 AM","290000.00","Cash, Conventional, FHA, VA","Sold","7/26/2011 12:00:00 AM","4.00","6/23/2011 12:00:00 AM"
"Webster Groves","MO","Greeley","760","63119","90","0","Full, Partially Finished, Poured Concrete, Rec/Family Area, Sump Pit/Pump, Walk-Out","2.00","53","St Louis","Ceiling Fan, Central-Electric, Zoned","53","Conventional","0","Gas","GSTL","299900.00","","Private","297000.00","8/3/2011 12:00:00 AM","297000.00","Cash, Conventional, RRM/ARM","Sold","8/4/2011 12:00:00 AM","3.00","5/9/2011 12:00:00 AM"
"Webster Groves","MO","Greeley","767","63119","102","","Full","2.00","9","St Louis","Ceiling Fan, Central-Electric, Zoned","9","Cash","1","Gas","GSTL","299900.00","","Private","299900.00","5/11/2012 12:00:00 AM","299900.00","Cash, Conventional","Sold","5/11/2012 6:54:25 PM","3.00","3/21/2012 12:00:00 AM"
