"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"University City","MO","Cornell","7741","63130","73","0","Fireplace in LL, Full, Partially Finished, Rec/Family Area, Roughed-In Bath, Walk-Out","2.00","49","St Louis","Central-Electric, Zoned","49","Cash","2","Gas","GSTL","325000.00","","Private","310000.00","4/27/2012 12:00:00 AM","310000.00","Cash, Conventional","Sold","4/30/2012 4:09:11 PM","3.00","1/28/2012 12:00:00 AM"
"St Louis","MO","Columbia","6939","63130","98","","Full","3.00","57","St Louis","Ceiling Fan, Central-Electric","57","Conventional","1","Gas","GSTL","319900.00","","Bank","310000.00","6/20/2012 12:00:00 AM","310000.00","Cash, Conventional, FHA","Sold","6/25/2012 10:24:10 AM","5.00","3/28/2012 12:00:00 AM"
"University City","MO","Cornell","7409","63130","74","0","Fireplace in LL, Full, Partially Finished, Rec/Family Area, Storage/Locker","2.00","74","St Louis","Ceiling Fan, Central-Electric","74","Conventional","0","Gas","GSTL","325000.00","","Private","315000.00","7/15/2011 12:00:00 AM","315000.00","Cash, Conventional, Other, VA","Sold","7/17/2011 12:00:00 AM","3.00","4/7/2011 12:00:00 AM"
"University City","MO","Jackson","835","63130","80","0","Full, Poured Concrete, Stone/Rock, Walk-Out","2.00","11","St Louis","Central-Electric, Zoned","11","Conventional","1","Gas","GSTL","319000.00","","Private","315000.00","2/16/2012 12:00:00 AM","315000.00","Cash, Conventional, FHA, Private","Sold","2/20/2012 9:10:49 AM","4.00","11/22/2011 12:00:00 AM"
"University City","MO","Cornell","7900","63130","78","0","Full, Poured Concrete, Storage/Locker, Walk-Out","2.00","153","St Louis","Ceiling Fan, Central-Electric","153","Conventional","2","Gas","GSTL","339000.00","","Private","320000.00","9/20/2011 12:00:00 AM","320000.00","Cash, Conventional, RRM/ARM","Sold","9/21/2011 12:00:00 AM","3.00","4/3/2011 12:00:00 AM"
"University City","MO","Yale","773","63130","102","200","Full, Rec/Family Area, Walk-Out","2.00","42","St Louis","Ceiling Fan, Central-Electric, Zoned","42","Conventional","0","Gas","GSTL","319000.00","","Private","320000.00","5/31/2012 12:00:00 AM","320000.00","Cash, Conventional","Sold","6/6/2012 5:27:28 AM","4.00","4/25/2012 12:00:00 AM"
"University City","MO","Princeton","7301","63130","87","415","Full, Walk-Out","2.00","31","St Louis","Ceiling Fan, Central-Electric","31","Cash","1","Gas","GSTL","329500.00","","Private","322000.00","6/11/2012 12:00:00 AM","322000.00","Cash, Conventional","Sold","6/12/2012 2:43:19 PM","4.00","4/16/2012 12:00:00 AM"
"University City","MO","Gannon","7630","63130","89","","Full, Partially Finished, Walk-Out","3.00","53","St Louis","Ceiling Fan, Central-Electric","53","Conventional","1","Gas","GSTL","339900.00","","Private","324500.00","5/1/2012 12:00:00 AM","324500.00","Cash, Conventional","Sold","5/2/2012 12:06:29 PM","3.00","1/20/2012 12:00:00 AM"
"University City","MO","Kingsbury","7335","63130","85","667","Full","2.00","391","St Louis","Central-Electric","295","Other","2","Gas","GSTL","375000.00","","Private","325000.00","4/5/2012 12:00:00 AM","325000.00","Cash, Conventional","Sold","4/12/2012 12:24:16 PM","4.00","6/3/2011 12:00:00 AM"
"University City","MO","Kingsbury","7066","63130","98","","Full, Walk-Out","3.00","43","St Louis","1 Window/Wall, Ceiling Fan, Central-Electric","43","Cash","1","Gas","GSTL","339000.00","","Private","327500.00","4/25/2012 12:00:00 AM","327500.00","Cash, Conventional","Sold","4/25/2012 3:22:37 PM","4.00","1/26/2012 12:00:00 AM"
